Subject,Description,Service,Impact,Status
Role-based access change request for team EXT-6311,Batch imported ticket for Role-based access change request for team EXT-6311. User ID: user1. Please investigate the Access logs for ID EXT-6311. User IP: 136.160.129.53,Access,Low,in_progress
Role-based access change request for team EXT-6935,Batch imported ticket for Role-based access change request for team EXT-6935. User ID: user1. Please investigate the Access logs for ID EXT-6935. User IP: 159.37.2.78,Access,High,resolved
User session timeout issue on mobile app version EXT-8011,Batch imported ticket for User session timeout issue on mobile app version EXT-8011. User ID: user1. Please investigate the Application logs for ID EXT-8011. User IP: 181.66.244.7,Application,High,in_progress
Payment gateway 500 status on /checkout/EXT-4621,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-4621. User ID: user1. Please investigate the Application logs for ID EXT-4621. User IP: 205.214.204.65,Application,Critical,open
Credential stuffing attempt blocked on IP range EXT-5087.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-5087.0.0/16. User ID: user1. Please investigate the Security logs for ID EXT-5087. User IP: 25.157.143.83,Security,Critical,in_progress
Database backup failure for instance EXT-6278 on S3,Batch imported ticket for Database backup failure for instance EXT-6278 on S3. User ID: user1. Please investigate the Database logs for ID EXT-6278. User IP: 160.227.76.167,Database,High,resolved
Database backup failure for instance EXT-3815 on S3,Batch imported ticket for Database backup failure for instance EXT-3815 on S3. User ID: user1. Please investigate the Database logs for ID EXT-3815. User IP: 232.78.240.90,Database,High,resolved
VPC Peering connection EXT-6616 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-6616 dropped packets detected. User ID: user1. Please investigate the Infrastructure logs for ID EXT-6616. User IP: 199.142.158.99,Infrastructure,High,open
Wireless AP EXT-8769 offline in South Wing,Batch imported ticket for Wireless AP EXT-8769 offline in South Wing. User ID: user1. Please investigate the Network logs for ID EXT-8769. User IP: 14.244.33.180,Network,Critical,open
API Latency increased for /v1/products/list - EXT-1525,Batch imported ticket for API Latency increased for /v1/products/list - EXT-1525. User ID: user1. Please investigate the Application logs for ID EXT-1525. User IP: 175.152.199.136,Application,Low,open
VPN tunnel EXT-9233 status changed to Down,Batch imported ticket for VPN tunnel EXT-9233 status changed to Down. User ID: user1. Please investigate the Network logs for ID EXT-9233. User IP: 70.109.135.6,Network,Medium,in_progress
Payment gateway 500 status on /checkout/EXT-7384,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7384. User ID: user1. Please investigate the Application logs for ID EXT-7384. User IP: 182.174.54.160,Application,Medium,open
Unusual login activity detected for account EXT-2074,Batch imported ticket for Unusual login activity detected for account EXT-2074. User ID: user1. Please investigate the Security logs for ID EXT-2074. User IP: 197.73.6.79,Security,Critical,open
VPN tunnel EXT-6644 status changed to Down,Batch imported ticket for VPN tunnel EXT-6644 status changed to Down. User ID: user1. Please investigate the Network logs for ID EXT-6644. User IP: 13.1.227.237,Network,Critical,resolved
Password reset requested for executive account EXT-2889,Batch imported ticket for Password reset requested for executive account EXT-2889. User ID: user1. Please investigate the Access logs for ID EXT-2889. User IP: 92.194.125.99,Access,Low,in_progress
DNS resolution failure for internal host EXT-4581,Batch imported ticket for DNS resolution failure for internal host EXT-4581. User ID: user1. Please investigate the Network logs for ID EXT-4581. User IP: 114.46.220.5,Network,Critical,resolved
Credential stuffing attempt blocked on IP range EXT-1379.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-1379.0.0/16. User ID: user1. Please investigate the Security logs for ID EXT-1379. User IP: 18.186.64.185,Security,Critical,resolved
Disk space low (95%) on shared drive EXT-5097,Batch imported ticket for Disk space low (95%) on shared drive EXT-5097. User ID: user1. Please investigate the Storage logs for ID EXT-5097. User IP: 145.87.124.200,Storage,Medium,resolved
Password reset requested for executive account EXT-9046,Batch imported ticket for Password reset requested for executive account EXT-9046. User ID: user1. Please investigate the Access logs for ID EXT-9046. User IP: 93.177.230.165,Access,Critical,in_progress
Password reset requested for executive account EXT-9360,Batch imported ticket for Password reset requested for executive account EXT-9360. User ID: user1. Please investigate the Access logs for ID EXT-9360. User IP: 53.156.148.125,Access,Medium,open
Credential stuffing attempt blocked on IP range EXT-7585.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-7585.0.0/16. User ID: user1. Please investigate the Security logs for ID EXT-7585. User IP: 41.120.127.211,Security,Low,resolved
DNS resolution failure for internal host EXT-7991,Batch imported ticket for DNS resolution failure for internal host EXT-7991. User ID: user1. Please investigate the Network logs for ID EXT-7991. User IP: 222.85.135.99,Network,Low,in_progress
Wireless AP EXT-3250 offline in South Wing,Batch imported ticket for Wireless AP EXT-3250 offline in South Wing. User ID: user1. Please investigate the Network logs for ID EXT-3250. User IP: 38.195.50.138,Network,Critical,in_progress
Disk space low (95%) on shared drive EXT-1656,Batch imported ticket for Disk space low (95%) on shared drive EXT-1656. User ID: user1. Please investigate the Storage logs for ID EXT-1656. User IP: 189.207.23.129,Storage,Medium,open
Connection pool exhaustion on microservice EXT-9065,Batch imported ticket for Connection pool exhaustion on microservice EXT-9065. User ID: user1. Please investigate the Database logs for ID EXT-9065. User IP: 40.144.237.240,Database,Medium,resolved
Postgres slow query optimization needed for EXT-8883,Batch imported ticket for Postgres slow query optimization needed for EXT-8883. User ID: user1. Please investigate the Database logs for ID EXT-8883. User IP: 226.142.111.13,Database,Medium,resolved
Unusual login activity detected for account EXT-8667,Batch imported ticket for Unusual login activity detected for account EXT-8667. User ID: user1. Please investigate the Security logs for ID EXT-8667. User IP: 175.245.252.216,Security,Critical,resolved
Database backup failure for instance EXT-2797 on S3,Batch imported ticket for Database backup failure for instance EXT-2797 on S3. User ID: user1. Please investigate the Database logs for ID EXT-2797. User IP: 210.229.216.227,Database,Critical,open
Disk space low (95%) on shared drive EXT-8889,Batch imported ticket for Disk space low (95%) on shared drive EXT-8889. User ID: user1. Please investigate the Storage logs for ID EXT-8889. User IP: 247.0.33.57,Storage,Medium,resolved
DNS resolution failure for internal host EXT-1337,Batch imported ticket for DNS resolution failure for internal host EXT-1337. User ID: user1. Please investigate the Network logs for ID EXT-1337. User IP: 119.218.16.240,Network,High,open
API Latency increased for /v1/products/list - EXT-1521,Batch imported ticket for API Latency increased for /v1/products/list - EXT-1521. User ID: user1. Please investigate the Application logs for ID EXT-1521. User IP: 8.51.46.62,Application,Critical,resolved
Credential stuffing attempt blocked on IP range EXT-2167.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2167.0.0/16. User ID: user1. Please investigate the Security logs for ID EXT-2167. User IP: 43.216.69.49,Security,Low,in_progress
Role-based access change request for team EXT-9712,Batch imported ticket for Role-based access change request for team EXT-9712. User ID: user1. Please investigate the Access logs for ID EXT-9712. User IP: 4.124.74.247,Access,Critical,open
VPC Peering connection EXT-4639 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-4639 dropped packets detected. User ID: user1. Please investigate the Infrastructure logs for ID EXT-4639. User IP: 252.43.107.13,Infrastructure,Medium,open
Load Balancer EXT-4322 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-4322 health check failures in Region-B. User ID: user1. Please investigate the Infrastructure logs for ID EXT-4322. User IP: 233.109.146.145,Infrastructure,Low,resolved
Connection pool exhaustion on microservice EXT-5600,Batch imported ticket for Connection pool exhaustion on microservice EXT-5600. User ID: user1. Please investigate the Database logs for ID EXT-5600. User IP: 185.44.39.116,Database,Medium,resolved
Unauthorized S3 bucket policy modification on EXT-6898,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-6898. User ID: user1. Please investigate the Security logs for ID EXT-6898. User IP: 52.13.100.76,Security,High,open
EFS mount failure on instance EXT-6120,Batch imported ticket for EFS mount failure on instance EXT-6120. User ID: user1. Please investigate the Storage logs for ID EXT-6120. User IP: 204.36.158.65,Storage,High,resolved
S3 bucket EXT-7745 access denied for service role,Batch imported ticket for S3 bucket EXT-7745 access denied for service role. User ID: user1. Please investigate the Storage logs for ID EXT-7745. User IP: 53.171.187.245,Storage,Low,open
Password reset requested for executive account EXT-3141,Batch imported ticket for Password reset requested for executive account EXT-3141. User ID: user1. Please investigate the Access logs for ID EXT-3141. User IP: 177.134.255.11,Access,High,resolved
Unusual login activity detected for account EXT-8175,Batch imported ticket for Unusual login activity detected for account EXT-8175. User ID: user1. Please investigate the Security logs for ID EXT-8175. User IP: 3.27.32.139,Security,High,in_progress
Unusual login activity detected for account EXT-1015,Batch imported ticket for Unusual login activity detected for account EXT-1015. User ID: user1. Please investigate the Security logs for ID EXT-1015. User IP: 74.78.27.14,Security,Medium,resolved
Unauthorized S3 bucket policy modification on EXT-1306,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1306. User ID: user1. Please investigate the Security logs for ID EXT-1306. User IP: 111.131.136.70,Security,Low,open
Password reset requested for executive account EXT-2677,Batch imported ticket for Password reset requested for executive account EXT-2677. User ID: user1. Please investigate the Access logs for ID EXT-2677. User IP: 141.234.108.201,Access,Medium,in_progress
Database backup failure for instance EXT-8687 on S3,Batch imported ticket for Database backup failure for instance EXT-8687 on S3. User ID: user1. Please investigate the Database logs for ID EXT-8687. User IP: 172.236.22.169,Database,Low,open
VPC Peering connection EXT-2507 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2507 dropped packets detected. User ID: user1. Please investigate the Infrastructure logs for ID EXT-2507. User IP: 225.74.204.16,Infrastructure,Low,in_progress
Connection pool exhaustion on microservice EXT-4885,Batch imported ticket for Connection pool exhaustion on microservice EXT-4885. User ID: user1. Please investigate the Database logs for ID EXT-4885. User IP: 162.52.7.190,Database,Critical,open
DNS resolution failure for internal host EXT-3684,Batch imported ticket for DNS resolution failure for internal host EXT-3684. User ID: user1. Please investigate the Network logs for ID EXT-3684. User IP: 144.43.225.20,Network,High,open
